id,name,party,last_check,x_handle,x_last_post,bluesky_handle,bluesky_last_post,mastodon_handle,mastodon_last_post
Q10551862,Kärnavfallsfonden,,,,,,,,
Q513370,Kävlinge kommun,,,,,,,,
Q42009,Köpings kommun,,2026-02-07T04:32:45.986604+00:00,Kopings_kommun,,,,,
Q4184946,Lagrådet,,,,,,,,
Q487502,Laholms kommun,,2026-02-07T04:32:45.986604+00:00,Laholms_kommun,,,,,
Q502298,Landskrona kommun,,2026-02-07T04:32:45.986604+00:00,landskronastad,2019-10-08T16:55:43+00:00,,,,
Q845497,Lantmäteriet,,2026-02-07T04:32:45.986604+00:00,lantmateriet,protected,,,,
Q515326,Laxå kommun,,,,,,,,
Q515282,Lekebergs kommun,,,,,,,,
Q509651,Leksands kommun,,2026-02-07T04:32:45.986604+00:00,Leksands_kommun,closed,,,,
Q503188,Lerums kommun,,,,,,,,
Q509488,Lessebo kommun,,2026-02-07T04:32:45.986604+00:00,Lessebokommun,2018-11-27T09:02:26+00:00,,,,
Q3120654,Lidingö kommun,,2026-02-07T04:32:45.986604+00:00,Lidingo_stad,closed,,,,
Q515358,Lidköpings kommun,,2026-02-07T04:32:45.986604+00:00,lidkopingkommun,2021-04-26T18:51:11+00:00,,,,
Q511241,Lilla Edets kommun,,,,,,,,
Q514858,Lindesbergs kommun,,,,,,,,
Q499410,Linköpings kommun,,2026-02-07T04:32:45.986604+00:00,Linkopingkommun,,,,,
Q10562812,Linköpings tingsrätt,,,,,,,,
Q782600,Linköpings universitet,,2026-02-07T04:32:45.986604+00:00,liu_universitet,2024-12-12T15:17:03+00:00,,,,
Q1751928,Linnéuniversitetet,,2026-02-07T04:32:45.986604+00:00,linneuni,2025-02-07T16:10:32+00:00,,,,
Q6972720,Livsmedelsverket,,2026-02-07T04:32:45.986604+00:00,Livsmedelsverk,2023-06-28T09:48:06+00:00,,,,
Q504235,Ljungby kommun,,,,,,,,
Q515235,Ljusdals kommun,,,,,,,,
Q514739,Ljusnarsbergs kommun,,2026-02-07T04:32:45.986604+00:00,Ljusnarsberg,,,,,
Q80207105,Lokala säkerhetsnämnden vid Barsebäck,,,,,,,,
Q80207112,Lokala säkerhetsnämnden vid Forsmark,,,,,,,,
Q80207116,Lokala säkerhetsnämnden vid Oskarshamn,,,,,,,,
Q80207119,Lokala säkerhetsnämnden vid Ringhals,,,,,,,,
Q80207121,Lokala säkerhetsnämnden vid Studsvik,,,,,,,,
Q427991,Lomma kommun,,2026-02-07T04:32:45.986604+00:00,Lommakommun,2022-08-26T09:17:32+00:00,,,,
Q503184,Ludvika kommun,,,,,,,,
Q470990,Luftfartsverket,,2026-02-07T04:32:45.986604+00:00,luftfartsverket,2024-03-15T10:54:07+00:00,,,,
Q177019,Luleå kommun,,2026-02-07T04:32:45.986604+00:00,luleakommun,2022-03-31T15:15:03+00:00,,,,
Q1972721,Luleå tekniska universitet,,2026-02-07T04:32:45.986604+00:00,LTUniv,2023-08-18T13:20:02+00:00,,,,
Q10570645,Luleå tingsrätt,,,,,,,,
Q505018,Lunds kommun,,2026-02-07T04:32:45.986604+00:00,lundskommun,2025-10-29T13:08:43+00:00,,,,
Q10570852,Lunds tingsrätt,,,,,,,,
Q218506,Lunds universitet,,2026-02-07T04:32:45.986604+00:00,lundsuni,2024-08-20T14:49:58+00:00,,,,
Q948462,Lycksele kommun,,2026-02-07T04:32:45.986604+00:00,Lyckselekommun,2018-05-25T10:49:41+00:00,,,,
Q10571252,Lycksele tingsrätt,,,,,,,,
Q503173,Lysekils kommun,,2026-02-07T04:32:45.986604+00:00,Lysekilskommun,2016-06-28T08:32:58+00:00,,,,
Q1879124,Läkemedelsverket,,2026-02-07T04:32:45.986604+00:00,LV_MPA,2021-12-16T07:46:01+00:00,,,,
Q28746121,Länsstyrelsen i Blekinge län,,2026-02-07T04:32:45.986604+00:00,Lst_Blekinge,closed,,,,
Q28752352,Länsstyrelsen i Dalarnas län,,2026-02-07T04:32:45.986604+00:00,lstdalarna,closed,,,,
Q28792244,Länsstyrelsen i Gotlands län,,,,,,,,
Q22294590,Länsstyrelsen i Gävleborgs län,,,,,,,,
Q28792253,Länsstyrelsen i Hallands län,,2026-02-07T04:32:45.986604+00:00,lstHalland,2023-03-27T11:27:19+00:00,,,,
Q28797491,Länsstyrelsen i Jämtlands län,,,,,,,,
Q28797492,Länsstyrelsen i Jönköpings län,,2026-02-07T04:32:45.986604+00:00,Lst_Jkpg_lan,2022-05-18T04:57:19+00:00,,,,
Q25349864,Länsstyrelsen i Kalmar län,,2026-02-07T04:32:45.986604+00:00,LstKalmar,closed,,,,
Q28797497,Länsstyrelsen i Kronobergs län,,2026-02-07T04:32:45.986604+00:00,lst_kronoberg,closed,,,,
Q25386980,Länsstyrelsen i Norrbottens län,,2026-02-07T04:32:45.986604+00:00,Norrbotten_lst,closed,,,,
Q22276465,Länsstyrelsen i Skåne län,,2026-02-07T04:32:45.986604+00:00,LstSkane,2020-03-16T11:46:57+00:00,,,,
Q22269305,Länsstyrelsen i Stockholms län,,2026-02-07T04:32:45.986604+00:00,LansstyrelseSTH,2021-11-29T12:04:34+00:00,,,,
Q28797500,Länsstyrelsen i Södermanlands län,,2026-02-07T04:32:45.986604+00:00,LSTsodermanland,2021-08-09T07:24:11+00:00,,,,
Q22269242,Länsstyrelsen i Uppsala län,,2026-02-07T04:32:45.986604+00:00,uppsalalst,2025-12-01T14:38:41+00:00,,,,
Q28804178,Länsstyrelsen i Värmlands län,,2026-02-07T04:32:45.986604+00:00,Lst_Varmland,2022-03-09T14:10:57+00:00,,,,
Q28804179,Länsstyrelsen i Västerbottens län,,2026-02-07T04:32:45.986604+00:00,LstVasterbotten,2023-05-04T12:47:05+00:00,,,,
Q26236697,Länsstyrelsen i Västernorrlands län,,,,,,,,
Q26236700,Länsstyrelsen i Västmanlands län,,2026-02-07T04:32:45.986604+00:00,LstVastmanland,closed,,,,
